sample,Season,Place,Date,gc/µL in sample,rerun,conc,Date_Location,index_plot,week,year,amplicon,read_count,segment
barcode17,2023/2024,ARA Werdhoelzli,2024_01_14 ,75.15 ,no,75.15,2024_01_14 -ARA Werdhoelzli,"",02,2024,amp5,4,H1
barcode17,2023/2024,ARA Werdhoelzli,2024_01_14 ,75.15 ,no,75.15,2024_01_14 -ARA Werdhoelzli,"",02,2024,amp6,0,H1
barcode18,2023/2024,ARA Werdhoelzli,2024_02_21 ,16.875 ,no,16.875,2024_02_21 -ARA Werdhoelzli,"",08,2024,amp1,15,H1
barcode18,2023/2024,ARA Werdhoelzli,2024_02_21 ,16.875 ,no,16.875,2024_02_21 -ARA Werdhoelzli,"",08,2024,amp2,1017,H1
barcode18,2023/2024,ARA Werdhoelzli,2024_02_21 ,16.875 ,no,16.875,2024_02_21 -ARA Werdhoelzli,"",08,2024,amp3,3490,H1
barcode18,2023/2024,ARA Werdhoelzli,2024_02_21 ,16.875 ,no,16.875,2024_02_21 -ARA Werdhoelzli,"",08,2024,amp4,3121,H1
barcode18,2023/2024,ARA Werdhoelzli,2024_02_21 ,16.875 ,no,16.875,2024_02_21 -ARA Werdhoelzli,"",08,2024,amp5,152,H1
barcode18,2023/2024,ARA Werdhoelzli,2024_02_21 ,16.875 ,no,16.875,2024_02_21 -ARA Werdhoelzli,"",08,2024,amp6,4,H1
barcode19,2023/2024,STEP Aire,2023_12_23 ,20.75 ,no,20.75,2023_12_23 -STEP Aire,"",51,2023,amp1,0,H1
barcode19,2023/2024,STEP Aire,2023_12_23 ,20.75 ,no,20.75,2023_12_23 -STEP Aire,"",51,2023,amp2,8,H1
barcode19,2023/2024,STEP Aire,2023_12_23 ,20.75 ,no,20.75,2023_12_23 -STEP Aire,"",51,2023,amp3,10,H1
barcode19,2023/2024,STEP Aire,2023_12_23 ,20.75 ,no,20.75,2023_12_23 -STEP Aire,"",51,2023,amp4,8,H1
barcode19,2023/2024,STEP Aire,2023_12_23 ,20.75 ,no,20.75,2023_12_23 -STEP Aire,"",51,2023,amp5,1,H1
barcode19,2023/2024,STEP Aire,2023_12_23 ,20.75 ,no,20.75,2023_12_23 -STEP Aire,"",51,2023,amp6,0,H1
barcode20,2023/2024,STEP Aire,2024_01_02 ,29.25 ,no,29.25,2024_01_02 -STEP Aire,"",01,2024,amp1,21,H1
barcode20,2023/2024,STEP Aire,2024_01_02 ,29.25 ,no,29.25,2024_01_02 -STEP Aire,"",01,2024,amp2,6374,H1
barcode20,2023/2024,STEP Aire,2024_01_02 ,29.25 ,no,29.25,2024_01_02 -STEP Aire,"",01,2024,amp3,11445,H1
barcode20,2023/2024,STEP Aire,2024_01_02 ,29.25 ,no,29.25,2024_01_02 -STEP Aire,"",01,2024,amp4,9582,H1
barcode20,2023/2024,STEP Aire,2024_01_02 ,29.25 ,no,29.25,2024_01_02 -STEP Aire,"",01,2024,amp5,3658,H1
barcode20,2023/2024,STEP Aire,2024_01_02 ,29.25 ,no,29.25,2024_01_02 -STEP Aire,"",01,2024,amp6,10,H1
barcode21,2023/2024,STEP Aire,2024_02_12 ,18.375 ,no,18.375,2024_02_12 -STEP Aire,"",07,2024,amp1,0,H1
barcode21,2023/2024,STEP Aire,2024_02_12 ,18.375 ,no,18.375,2024_02_12 -STEP Aire,"",07,2024,amp2,11,H1
barcode21,2023/2024,STEP Aire,2024_02_12 ,18.375 ,no,18.375,2024_02_12 -STEP Aire,"",07,2024,amp3,12,H1
barcode21,2023/2024,STEP Aire,2024_02_12 ,18.375 ,no,18.375,2024_02_12 -STEP Aire,"",07,2024,amp4,11,H1
barcode21,2023/2024,STEP Aire,2024_02_12 ,18.375 ,no,18.375,2024_02_12 -STEP Aire,"",07,2024,amp5,2,H1
barcode21,2023/2024,STEP Aire,2024_02_12 ,18.375 ,no,18.375,2024_02_12 -STEP Aire,"",07,2024,amp6,0,H1
barcode22,2023/2024,ARA Chur,2023_12_24 ,19.875 ,no,19.875,2023_12_24 -ARA Chur,"",51,2023,amp1,42,H1
barcode22,2023/2024,ARA Chur,2023_12_24 ,19.875 ,no,19.875,2023_12_24 -ARA Chur,"",51,2023,amp2,1231,H1
barcode22,2023/2024,ARA Chur,2023_12_24 ,19.875 ,no,19.875,2023_12_24 -ARA Chur,"",51,2023,amp3,2326,H1
